Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1491944400.0 136.727 NA 277 436 0 NA NA 364 579 0 NA NA 3360 7569 626 NA NA 10829 3281 633 NA
1491944400.0 136.728 NA 238 452 0 NA NA 369 581 0 NA NA 3760 7833 613 NA NA 11830 3358 620 NA
1491944400.0 136.729 NA 218 440 0 NA NA 307 542 0 NA NA 2861 7722 619 NA NA 1441 4090 628 NA
1491944400.0 136.732 NA 194 423 0 NA NA 288 526 0 NA NA 1560 4806 554 NA NA 903 2149 560 NA
1491944400.0 136.7321 NA 209 452 0 NA NA 296 557 0 NA NA 1657 5066 584 NA NA 738 2256 599 NA
1491944400.0 136.735 NA 181 351 0 NA NA 247 446 0 NA NA 700 1891 457 NA NA 537 1613 463 NA
1491944400.0 1360.0 70 206 458 0 NA 204 277 533 0 NA 1903 341 1401 1048 NA 2450 345 1409 1054 NA
1491944400.0 1361.0 96 204 460 0 NA 226 333 574 0 NA 3264 492 1612 1053 NA 2447 369 1500 1075 NA
1491944400.0 1362.0 102 205 460 0 NA 222 316 565 0 NA 3890 487 1685 1109 NA 2990 370 1641 1136 NA
1491944400.0 1363.0 113 215 461 0 NA 226 316 572 0 NA 4436 540 1557 1074 NA 3191 393 1451 1084 NA
1491944400.0 13992501.0 NA 288 703 0 NA NA 466 871 0 NA NA 2605 5176 1089 NA NA 2456 4133 1097 NA
1491944400.0 13992502.0 NA 318 643 0 NA NA 465 861 0 NA NA 2837 4449 1096 NA NA 1572 3148 1104 NA
1491944400.0 204.0 85 124 420 0 NA 166 243 531 0 NA 3442 525 942 318 NA 1292 298 522 326 NA
1491944400.0 25.0 NA 103 390 0 113 NA 212 480 0 149 NA 1703 2328 379 87 NA 826 940 400 84
1491944400.0 250200.1 91 346 241 NA NA 168 472 353 NA NA 3755 1197 1365 NA NA 1397 719 853 NA NA
1491944400.0 250202.0 NA 400 565 0 NA NA 579 683 0 NA NA 13841 3740 1053 NA NA 4909 2332 1060 NA
1491944400.0 250400.0 431 0 118 NA NA 561 0 196 NA NA 1041 175 309 NA NA 671 187 262 NA NA
1491944400.0 250402.0 439 0 127 NA NA 567 0 203 NA NA 1105 189 283 NA NA 734 196 200 NA NA
1491944400.0 250403.0 437 0 124 NA NA 560 0 195 NA NA 1003 176 232 NA NA 676 181 184 NA NA
1491944400.0 250405.0 426 0 121 NA NA 554 0 190 NA NA 921 181 301 NA NA 669 185 254 NA NA
1491944400.0 250406.0 425 0 123 NA NA 554 0 186 NA NA 713 179 187 NA NA 695 211 192 NA NA
1491944400.0 250407.0 383 0 121 NA NA 500 0 190 NA NA 712 168 214 NA NA 571 173 194 NA NA
1491944400.0 250408.0 429 0 118 NA NA 570 0 198 NA NA 1063 183 272 NA NA 814 189 212 NA NA
1491944400.0 25202.0 NA 309 717 0 NA NA 457 876 0 NA NA 2780 4283 1090 NA NA 1273 2548 1099 NA
1491944400.0 25209.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1491944400.0 25210.0 77 244 556 0 NA 198 350 674 0 NA 2151 1247 2185 1008 NA 2558 1102 2503 1016 NA
1491944400.0 25211.0 111 303 545 0 NA 223 452 862 0 NA 3523 2663 4522 1112 NA 3046 1437 4197 1135 NA
1491944400.0 25212.0 105 284 517 0 NA 222 446 852 0 NA 3632 2900 4248 1128 NA 3575 1839 3715 1141 NA
1491944400.0 25213.0 104 301 540 0 NA 218 437 872 0 NA 4306 2829 4447 1067 NA 3895 2002 3830 1076 NA
1491944400.0 25408.0 538 0 136 NA NA 716 0 203 NA NA 3791 221 366 NA NA 2023 227 278 NA NA
1491944400.0 280.0 132 86 362 0 NA 228 186 435 0 NA 4250 303 416 302 NA 1655 208 349 307 NA
1491944400.0 3.0 90 82 156 NA NA 148 196 235 NA NA 5864 243 789 NA NA 2548 183 514 NA NA
1491944400.0 300.0 138 222 457 0 NA 223 362 549 0 NA 2526 644 553 131 NA 1268 677 566 136 NA
1491944400.0 301.0 145 296 538 0 NA 216 431 622 0 NA 3357 854 812 138 NA 1717 584 649 155 NA
1491944400.0 302.0 152 275 506 0 NA 230 400 597 0 NA 2341 729 736 138 NA 1059 563 618 154 NA
1491944400.0 34.0 85 91 375 0 NA 165 180 461 0 NA 3346 306 462 291 NA 1269 216 387 302 NA
1491944400.0 36.0 NA 96 381 0 NA NA 201 475 0 NA NA 1547 6037 349 NA NA 598 2119 355 NA
1491944400.0 4.17 NA 39 356 0 133 NA 83 448 0 204 NA 90 1759 271 440 NA 87 844 350 348
1491944400.0 4.28 NA 71 377 0 NA NA 119 463 0 NA NA 94 1596 622 NA NA 365 1251 635 NA
1491944400.0 4.29 NA 40 366 0 132 NA 84 465 0 199 NA 91 1905 296 479 NA 90 885 305 359
1491944400.0 4.36 NA 64 367 0 NA NA 102 456 0 NA NA 90 2286 298 NA NA 92 1162 305 NA
1491944400.0 4.41 NA 40 384 0 NA NA 85 476 0 NA NA 123 3674 294 NA NA 118 1435 301 NA
1491944400.0 4.42 NA 38 380 0 NA NA 86 486 0 NA NA 116 4372 289 NA NA 124 1573 294 NA
1491944400.0 4.51 NA 42 389 0 NA NA 83 488 0 NA NA 121 4123 287 NA NA 148 1785 294 NA
1491944400.0 4.52 NA 33 391 0 NA NA 82 489 0 NA NA 128 5342 303 NA NA 127 2145 310 NA
1491944400.0 4.53 NA 41 379 0 NA NA 85 487 0 NA NA 118 4566 285 NA NA 124 1658 305 NA
1491944400.0 4.54 NA 43 380 0 NA NA 84 488 0 NA NA 124 4782 301 NA NA 151 1687 321 NA
1491944400.0 4.55 NA 36 385 0 NA NA 82 492 0 NA NA 127 5718 301 NA NA 144 1979 312 NA
1491944400.0 4.58 NA 50 369 0 NA NA 95 485 0 NA NA 106 3302 291 NA NA 118 1370 296 NA
1491944400.0 4.61 NA 42 386 0 NA NA 83 498 0 NA NA 118 4657 283 NA NA 138 1650 289 NA
1491944400.0 4.62 NA 41 378 0 NA NA 82 498 0 NA NA 121 4767 297 NA NA 155 1664 307 NA
1491944400.0 4.63 NA 42 384 0 NA NA 82 490 0 NA NA 134 5314 287 NA NA 151 1834 293 NA
1491944400.0 4.64 NA 37 387 0 NA NA 84 492 0 NA NA 133 5198 294 NA NA 132 1998 426 NA
1491944400.0 4.68 NA 50 390 0 NA NA 91 479 0 NA NA 116 4644 296 NA NA 137 1920 310 NA
1491944400.0 4.72 NA 41 386 0 NA NA 83 480 0 NA NA 130 4318 307 NA NA 155 1924 321 NA
1491944400.0 4.73 NA 43 393 0 NA NA 87 494 0 NA NA 134 5054 291 NA NA 150 2148 297 NA
1491944400.0 4.74 NA 42 381 0 NA NA 84 479 0 NA NA 123 4313 285 NA NA 143 1643 293 NA
1491944400.0 4.75 NA 42 387 0 NA NA 85 484 0 NA NA 129 5134 279 NA NA 142 2092 362 NA
1491944400.0 4.76 NA 59 396 0 NA NA 97 497 0 NA NA 117 4786 287 NA NA 142 5503 397 NA
1491944400.0 4.77 NA 52 392 0 NA NA 98 503 0 NA NA 125 5854 286 NA NA 144 2301 291 NA
1491944400.0 4.78 NA 51 380 0 NA NA 94 475 0 NA NA 106 3692 283 NA NA 114 1446 288 NA
1491944400.0 500200.1 93 173 243 NA NA 170 262 340 NA NA 3368 578 1272 NA NA 1207 459 769 NA NA
1491944400.0 500202.0 NA 195 478 0 NA NA 314 594 0 NA NA 4207 1917 357 NA NA 2211 1017 365 NA
1491944400.0 512.0 15 39 0 NA NA 135 71 0 NA NA 6 19 8 NA NA 2711 22 12 NA NA
1491944400.0 526.0 16 39 0 NA NA 135 72 0 NA NA 6 25 8 NA NA 7406 30 12 NA NA
