Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1491944400.0 1363.0 64 158 249 0 NA NA NA 158 217 314 0 NA NA NA 4144 504 1087 1202 NA NA NA 6486 843 1186 1226 NA NA NA
1491944400.0 139901.0 NA 157 254 0 NA NA NA NA 225 313 0 NA NA NA NA 428 744 1043 NA NA NA NA 491 787 1634 NA NA NA
1491944400.0 13992502.0 NA 214 319 0 NA NA NA NA 281 410 0 NA NA NA NA 3267 4463 1456 NA NA NA NA 7106 8345 1512 NA NA NA
1491944400.0 140.54 NA 198 0 NA NA NA NA NA 266 0 NA NA NA NA NA 1667 207 NA NA NA NA NA 1813 244 NA NA NA NA
1491944400.0 250200.1 66 191 186 NA NA NA NA 108 260 250 NA NA NA NA 7455 1473 2842 NA NA NA NA 7647 2458 4618 NA NA NA NA
1491944400.0 250403.0 236 0 110 NA NA NA NA 317 0 157 NA NA NA NA 956 198 470 NA NA NA NA 1090 210 956 NA NA NA NA
1491944400.0 250405.0 227 0 111 NA NA NA NA 315 0 156 NA NA NA NA 906 210 351 NA NA NA NA 1343 223 439 NA NA NA NA
1491944400.0 250406.0 230 0 119 NA NA NA NA 317 0 155 NA NA NA NA 874 223 313 NA NA NA NA 1464 235 377 NA NA NA NA
1491944400.0 250409.0 236 0 111 NA NA NA NA 323 0 162 NA NA NA NA 1363 237 506 NA NA NA NA 1724 249 809 NA NA NA NA
1491944400.0 25202.0 NA 219 326 0 NA NA NA NA 280 410 0 NA NA NA NA 2590 3773 1361 NA NA NA NA 2964 4145 1411 NA NA NA
1491944400.0 25402.0 264 0 109 NA NA NA NA 369 0 157 NA NA NA NA 3730 322 781 NA NA NA NA 5744 850 1834 NA NA NA NA
1491944400.0 25403.0 256 0 112 NA NA NA NA 361 0 154 NA NA NA NA 2152 209 336 NA NA NA NA 2722 231 372 NA NA NA NA
1491944400.0 25405.0 252 0 111 NA NA NA NA 365 0 154 NA NA NA NA 2219 209 309 NA NA NA NA 3411 217 354 NA NA NA NA
1491944400.0 25406.0 251 0 113 NA NA NA NA 366 0 155 NA NA NA NA 2092 204 312 NA NA NA NA 3845 228 564 NA NA NA NA
1491944400.0 25408.0 271 0 109 NA NA NA NA 381 0 162 NA NA NA NA 4298 308 915 NA NA NA NA 5941 623 1943 NA NA NA NA
1491944400.0 25409.0 256 0 109 NA NA NA NA 363 0 160 NA NA NA NA 2917 238 416 NA NA NA NA 3349 256 491 NA NA NA NA
1491944400.0 281.0 89 126 217 0 NA NA NA 218 195 288 0 NA NA NA 3046 350 725 369 NA NA NA 3386 587 892 384 NA NA NA
1491944400.0 3.0 56 76 141 NA NA NA NA 102 146 188 NA NA NA NA 4999 214 629 NA NA NA NA 5076 239 656 NA NA NA NA
1491944400.0 4.74 NA 41 226 0 NA NA NA NA 79 295 0 NA NA NA NA 132 4510 348 NA NA NA NA 252 5167 399 NA NA NA
1491944400.0 4.75 NA 38 224 0 NA NA NA NA 79 301 0 NA NA NA NA 129 4788 299 NA NA NA NA 151 4935 307 NA NA NA
1491944400.0 4.76 NA 53 229 0 NA NA NA NA 91 304 0 NA NA NA NA 115 4580 321 NA NA NA NA 153 4740 334 NA NA NA
1491944400.0 4.77 NA 59 230 0 NA NA NA NA 92 305 0 NA NA NA NA 124 5742 301 NA NA NA NA 157 5896 309 NA NA NA
